step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.7028,6.7064,4.6485,nan,0.05
250,0.85,0.000999495547480752,2.5254,0.8157,0.12,2.9497,2.9473,2.0429,91999,0.89
499,1.7,0.000996404858951786,1.8893,0.5162,0.0,2.3777,2.438,1.6899,88906,1.75
749,2.55,0.0009904908123745863,1.6378,0.4482,0.0,2.1225,2.2328,1.5476,90881,2.59
998,3.4,0.0009818377126940404,1.5054,0.4015,0.0,1.9906,2.1317,1.4776,91535,3.43
1248,4.25,0.000970430690923128,1.4267,0.363,0.0,1.8945,2.0474,1.4192,88260,4.3
1498,5.1,0.0009563709434533556,1.3743,0.3365,0.0,1.8363,1.9957,1.3833,86098,5.19
1747,5.95,0.0009398186496835648,1.335,0.32,0.0,1.7868,1.9694,1.3651,85342,6.09
1997,6.8,0.0009207453671075667,1.307,0.3057,0.0,1.7506,1.932,1.3392,85310,6.98
2247,7.65,0.0008993328505405867,1.2819,0.2962,0.0,1.7172,1.8997,1.3168,85053,7.88
2496,8.5,0.0008758148673582538,1.2635,0.286,0.0,1.692,1.8843,1.3061,85528,8.77
2746,9.35,0.0008501510056157637,1.2482,0.2771,0.0,1.6672,1.8646,1.2924,86434,9.65
2996,10.2,0.0008225933280712271,1.2322,0.2727,0.0,1.6509,1.8415,1.2765,87507,10.53
3245,11.05,0.0007934360062282577,1.2172,0.2694,0.0,1.6294,1.8212,1.2624,86712,11.4
3495,11.9,0.0007626289378280084,1.2064,0.2667,0.0,1.6131,1.8199,1.2615,87185,12.28
3744,12.75,0.0007306112787292833,1.1984,0.2636,0.0,1.599,1.8181,1.2602,87764,13.15
3994,13.6,0.0006973280116347983,1.1846,0.261,0.0,1.5825,1.8191,1.2609,87976,14.02
4244,14.45,0.0006631151720541386,1.1755,0.2576,0.0,1.5732,1.799,1.2469,86729,14.89
4493,15.3,0.0006283294644189698,1.1676,0.2606,0.0,1.5537,1.7916,1.2418,87141,15.77
4743,16.15,0.0005929111149771788,1.1586,0.2578,0.0,1.5424,1.7881,1.2394,87347,16.64
4992,17.0,0.0005573650135632823,1.1499,0.257,0.0,1.525,1.7774,1.232,87632,17.51
5242,17.85,0.0005216300798083888,1.1437,0.2574,0.0,1.5179,1.7755,1.2307,87129,18.39
5492,18.7,0.0004860741472967243,1.1358,0.257,0.0,1.5053,1.7869,1.2386,87976,19.26
5741,19.55,0.00045106106954339323,1.1269,0.2571,0.0,1.4941,1.784,1.2366,87796,20.13
5991,20.4,0.0004165306820965957,1.1183,0.2548,0.0,1.4795,1.7643,1.2229,87558,20.99
6241,21.25,0.0003828424251061505,1.113,0.2577,0.0,1.4708,1.7547,1.2162,87312,21.87
6490,22.1,0.0003503370140618392,1.1061,0.2599,0.0,1.459,1.7569,1.2178,87183,22.73
6740,22.95,0.00031895859354158805,1.101,0.2614,0.0,1.447,1.758,1.2185,87118,23.61
6990,23.8,0.0002890379388068634,1.0952,0.2634,0.0,1.4377,1.7671,1.2249,88003,24.47
7239,24.65,0.00026087341188844664,1.0892,0.2613,0.0,1.4264,1.7514,1.214,87340,25.34
7489,25.5,0.00023441661648898333,1.0855,0.2642,0.0,1.4189,1.7547,1.2163,87398,26.21
7738,26.35,0.00021004469517049533,1.08,0.2666,0.0,1.412,1.7574,1.2181,85186,27.1
7988,27.2,0.00018771576863017576,1.071,0.2683,0.0,1.4043,1.7562,1.2173,84702,28.0
8238,28.05,0.00016767269017753102,1.0698,0.269,0.0,1.3964,1.7555,1.2168,86851,28.87
8487,28.9,0.00015010748759020814,1.0673,0.271,0.0,1.3909,1.7524,1.2147,86983,29.74
8737,29.75,0.0001349899778379728,1.0631,0.2722,0.0,1.3826,1.7545,1.2161,86111,30.62
8986,30.6,0.00012253566156152136,1.0578,0.2717,0.0,1.377,1.7526,1.2148,87471,31.49
9236,31.45,0.00011272313798264754,1.0558,0.2741,0.0,1.373,1.755,1.2165,87467,32.36
9486,32.3,0.00010566963175058841,1.0523,0.2757,0.0,1.37,1.7534,1.2153,86603,33.23
9735,33.15,0.0001014310211264214,1.0498,0.2796,0.0,1.3654,1.7569,1.2178,87572,34.1
9985,34.0,0.00010000002272630928,1.0494,0.2797,0.0,1.36,1.7538,1.2157,87210,34.96
