step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,4.0463,4.0578,7.0017,nan,0.02
250,2.12,0.0009994970746820995,4.6029,0.6018,0.068,2.2432,2.3305,4.0213,82947,0.88
500,4.23,0.000996397720658442,3.7052,0.4754,0.0,1.9578,2.1223,3.6621,81403,1.77
750,6.35,0.0009904903249427582,3.3423,0.4912,0.0,1.7872,1.9955,3.4432,80832,2.66
1000,8.46,0.0009818120477011812,3.1381,0.4811,0.0,1.6929,1.9255,3.3224,75159,3.62
1250,10.58,0.0009704174791862624,3.017,0.4755,0.0,1.6282,1.8853,3.2531,75589,4.57
1500,12.69,0.0009563782963398229,2.9272,0.4664,0.0,1.5831,1.8597,3.209,75072,5.54
1750,14.81,0.00093978281191287,2.8531,0.4625,0.0,1.5367,1.8386,3.1725,75236,6.52
2000,16.92,0.0009207354189388212,2.7939,0.4582,0.0,1.5028,1.8268,3.1521,75462,7.49
2250,19.04,0.0008993559340545463,2.7424,0.4535,0.0,1.475,1.827,3.1525,75784,8.45
2500,21.15,0.0008757788438000313,2.6975,0.4532,0.0,1.4353,1.8151,3.132,75658,9.41
2750,23.27,0.00085015245863778,2.6596,0.4548,0.0,1.407,1.8121,3.1268,75604,10.38
3000,25.38,0.000822637980013546,2.6167,0.4589,0.0,1.3782,1.8045,3.1137,75797,11.34
3250,27.5,0.0007934084863270072,2.5881,0.4602,0.0,1.3529,1.8135,3.1292,75634,12.31
3500,29.61,0.0007626478441910743,2.5505,0.4699,0.0,1.3335,1.8196,3.1397,75647,13.27
3750,31.73,0.0007305495518285068,2.5227,0.4732,0.0,1.3049,1.8244,3.148,76233,14.22
4000,33.84,0.000697315521881385,2.4918,0.4781,0.0,1.2815,1.813,3.1283,76441,15.16
4250,35.96,0.0006631548112901164,2.4633,0.4869,0.0,1.2578,1.8247,3.1485,77264,16.09
4500,38.07,0.0006282823062316016,2.4341,0.4899,0.0,1.2368,1.8232,3.1459,76998,17.02
4750,40.19,0.0005929173703888925,2.4049,0.4992,0.0,1.2074,1.831,3.1593,77889,17.94
5000,42.3,0.0005572824650553304,2.3808,0.5081,0.0,1.1949,1.845,3.1835,77447,18.87
5250,44.42,0.0005216017497533261,2.3601,0.5166,0.0,1.1731,1.8398,3.1745,77149,19.8
5500,46.53,0.00048609967217051877,2.3311,0.5221,0.0,1.1539,1.8479,3.1885,77333,20.72
5750,48.65,0.00045099955628324776,2.3086,0.5366,0.0,1.1327,1.8537,3.1985,78331,21.64
6000,50.76,0.0004165221975486692,2.2889,0.5371,0.0,1.1121,1.8557,3.202,78094,22.55
6250,52.88,0.0003828844740023944,2.2616,0.5477,0.0,1.0964,1.8555,3.2017,77849,23.47
6500,54.99,0.00035029798199846243,2.2477,0.5558,0.0,1.0804,1.865,3.2181,76781,24.41
6750,57.11,0.0003189677051734586,2.2323,0.5677,0.0,1.0583,1.8759,3.2368,76120,25.36
7000,59.22,0.00028909072500758775,2.2038,0.5703,0.0,1.0379,1.8791,3.2424,77491,26.3
7250,61.34,0.0002608549810938516,2.1915,0.5817,0.0,1.0264,1.8853,3.2531,76749,27.23
7500,63.45,0.00023443808891379495,2.1768,0.5905,0.0,1.0123,1.8875,3.2569,77622,28.15
7750,65.57,0.0002100062225565369,2.1605,0.5964,0.0,1.0038,1.8923,3.2651,78594,29.06
8000,67.68,0.00018771306940928916,2.1427,0.6012,0.0,0.9897,1.8945,3.2689,79166,29.97
8250,69.8,0.0001676988633948232,2.1301,0.6087,0.0,0.9762,1.9023,3.2824,78208,30.88
8500,71.91,0.00015008950283725808,2.1173,0.6158,0.0,0.9651,1.9051,3.2872,78751,31.79
8750,74.03,0.0001349957585051868,2.1085,0.6188,0.0,0.9561,1.9078,3.2919,79773,32.69
9000,76.14,0.00012251257681390645,2.0919,0.6246,0.0,0.9476,1.9134,3.3017,78895,33.6
9250,78.26,0.00011271848256992017,2.0901,0.6295,0.0,0.9398,1.9118,3.2988,81569,34.47
9500,80.37,0.00010567508501471838,2.0772,0.6357,0.0,0.936,1.916,3.306,82102,35.34
9750,82.49,0.00010142669027504233,2.0678,0.6386,0.0,0.9266,1.9189,3.3111,81659,36.22
10000,84.6,0.00010000002265749383,2.0666,0.6444,0.0,0.9194,1.9203,3.3134,81898,37.09
