step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,4.0136,4.0332,6.9594,nan,0.02
62,0.52,0.00062,5.7172,0.9185,0.2258,2.8181,2.796,4.8245,82124,0.27
125,1.06,0.0009997779521645793,4.5169,0.5388,0.0,2.4474,2.4796,4.2786,82258,0.52
188,1.59,0.000997085065094661,4.1516,0.4632,0.0,2.3321,2.3832,4.1122,81069,0.77
250,2.12,0.000991467915710602,3.9957,0.4691,0.0,2.2375,2.3156,3.9956,80383,1.03
312,2.64,0.000982944593770023,3.8727,0.4577,0.0,2.1623,2.2512,3.8844,81518,1.28
375,3.17,0.0009713647985659705,3.7596,0.4663,0.0,2.086,2.208,3.8099,80782,1.53
438,3.71,0.0009569210201369171,3.6433,0.4745,0.0,2.0188,2.1558,3.7198,82233,1.78
500,4.23,0.0009400056220502038,3.5382,0.486,0.0,1.9599,2.113,3.6459,82204,2.03
562,4.75,0.0009205228264350286,3.4437,0.4775,0.0,1.9061,2.072,3.5752,82590,2.27
625,5.29,0.0008982280943769279,3.3726,0.4947,0.0,1.8617,2.0304,3.5035,82499,2.52
688,5.82,0.0008735664834904018,3.3059,0.4849,0.0,1.8155,2.008,3.4648,81665,2.78
750,6.35,0.0008471482326730356,3.2355,0.4854,0.0,1.7876,1.98,3.4165,81016,3.03
812,6.87,0.0008187738622640052,3.1901,0.4971,0.0,1.7579,1.9593,3.3808,75923,3.29
875,7.4,0.0007881305504383858,3.1498,0.4843,0.0,1.7311,1.9374,3.343,80771,3.55
938,7.94,0.0007558686840867672,3.0993,0.4795,0.0,1.7071,1.9157,3.3055,79143,3.81
1000,8.46,0.0007227516068384351,3.0714,0.5009,0.0,1.6819,1.9051,3.2873,79954,4.07
1062,8.98,0.0006884973099620797,3.0391,0.4902,0.0,1.6659,1.9005,3.2792,81553,4.32
1125,9.52,0.0006527578915497952,2.9977,0.4855,0.0,1.644,1.8811,3.2458,83033,4.57
1188,10.05,0.0006163200358721371,2.9688,0.4849,0.0,1.6268,1.8766,3.2381,82291,4.82
1250,10.58,0.000580019170194978,2.9355,0.4804,0.0,1.6103,1.8659,3.2196,82570,5.07
1312,11.1,0.0005435206890502264,2.9279,0.4873,0.0,1.601,1.8508,3.1936,82696,5.31
1375,11.63,0.0005064785366653971,2.8991,0.4875,0.0,1.5864,1.8487,3.1899,81978,5.57
1438,12.17,0.0004697321962262785,2.8763,0.4855,0.0,1.5724,1.8371,3.1699,81375,5.82
1500,12.69,0.00043410050660169726,2.8636,0.4853,0.0,1.5577,1.8311,3.1596,81201,6.07
1562,13.21,0.0003992317805245042,2.8366,0.4872,0.0,1.542,1.8308,3.1591,82218,6.32
1625,13.75,0.000364818538627701,2.8171,0.4979,0.0,1.5291,1.8222,3.1442,82557,6.57
1688,14.28,0.0003316639604843873,2.8057,0.4928,0.0,1.5213,1.8151,3.132,81593,6.82
1750,14.81,0.000300483385220878,2.7979,0.4963,0.0,1.51,1.814,3.1301,81819,7.07
1812,15.33,0.000270945371766418,2.775,0.5013,0.0,1.5013,1.8164,3.1342,82588,7.32
1875,15.86,0.00024281365293987495,2.7646,0.5002,0.0,1.4949,1.8099,3.1229,82136,7.57
1938,16.4,0.00021676985542978615,2.7456,0.4982,0.0,1.4815,1.8043,3.1134,81536,7.82
2000,16.92,0.00019334989271035417,2.739,0.5038,0.0,1.4732,1.806,3.1162,80486,8.07
2062,17.44,0.00017227774897662711,2.7299,0.5053,0.0,1.4663,1.8013,3.1082,81516,8.32
2125,17.98,0.00015341344657075352,2.7121,0.5004,0.0,1.4607,1.7986,3.1035,81561,8.57
2188,18.51,0.0001372447116165219,2.7044,0.5042,0.0,1.4549,1.7968,3.1004,80870,8.83
2250,19.04,0.00012407115021866657,2.6996,0.504,0.0,1.4514,1.7929,3.0936,80381,9.08
2312,19.56,0.00011370146808409143,2.6914,0.5085,0.0,1.4463,1.791,3.0903,80773,9.33
2375,20.09,0.00010610683427057706,2.6907,0.5117,0.0,1.4415,1.7915,3.0912,77750,9.59
2438,20.63,0.00010152930721270076,2.6723,0.5062,0.0,1.4357,1.7895,3.0878,80361,9.85
2500,21.15,0.00010000038553136689,2.6765,0.5105,0.0,1.4356,1.7896,3.0879,80575,10.1
