step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.7028,6.7064,4.6485,nan,0.05
250,0.85,0.000999495547480752,2.5254,0.8157,0.12,2.9497,2.9473,2.0429,92844,0.88
499,1.7,0.000996404858951786,1.8893,0.5162,0.0,2.3777,2.4379,1.6898,91206,1.72
749,2.55,0.0009904908123745863,1.6378,0.4482,0.0,2.1226,2.2327,1.5476,90799,2.56
998,3.4,0.0009818377126940404,1.5054,0.4015,0.0,1.9903,2.1314,1.4773,88378,3.43
1248,4.25,0.000970430690923128,1.4267,0.3631,0.0,1.8942,2.0489,1.4202,87770,4.31
1498,5.1,0.0009563709434533556,1.3743,0.3364,0.0,1.8354,1.9915,1.3804,76799,5.3
1747,5.95,0.0009398186496835648,1.335,0.3197,0.0,1.7872,1.9648,1.3619,77980,6.29
1997,6.8,0.0009207453671075667,1.3068,0.3061,0.0,1.7523,1.9277,1.3362,79665,7.25
2247,7.65,0.0008993328505405867,1.2821,0.2953,0.0,1.7192,1.8991,1.3164,84537,8.16
2496,8.5,0.0008758148673582538,1.2634,0.2861,0.0,1.6918,1.8906,1.3104,84518,9.05
2746,9.35,0.0008501510056157637,1.2482,0.2771,0.0,1.666,1.861,1.2899,85359,9.95
2996,10.2,0.0008225933280712271,1.2323,0.2725,0.0,1.6494,1.842,1.2768,86531,10.84
3245,11.05,0.0007934360062282577,1.2173,0.2704,0.0,1.6296,1.827,1.2663,86540,11.72
3495,11.9,0.0007626289378280084,1.2065,0.2684,0.0,1.6162,1.8274,1.2667,85696,12.6
3744,12.75,0.0007306112787292833,1.1984,0.2631,0.0,1.5989,1.8147,1.2579,87024,13.48
3994,13.6,0.0006973280116347983,1.1847,0.2589,0.0,1.5817,1.8239,1.2642,86543,14.36
4244,14.45,0.0006631151720541386,1.176,0.2593,0.0,1.5713,1.7975,1.2459,86187,15.24
4493,15.3,0.0006283294644189698,1.1674,0.2595,0.0,1.5528,1.7974,1.2458,86721,16.12
4743,16.15,0.0005929111149771788,1.1583,0.2555,0.0,1.5405,1.7939,1.2434,86601,17.0
4992,17.0,0.0005573650135632823,1.1504,0.2574,0.0,1.5269,1.7851,1.2373,86200,17.89
5242,17.85,0.0005216300798083888,1.1435,0.2576,0.0,1.5191,1.7857,1.2377,86485,18.77
5492,18.7,0.0004860741472967243,1.1359,0.2549,0.0,1.5056,1.7871,1.2387,86710,19.65
5741,19.55,0.00045106106954339323,1.1274,0.2581,0.0,1.4935,1.7816,1.2349,86663,20.53
5991,20.4,0.0004165306820965957,1.1185,0.255,0.0,1.4791,1.7712,1.2277,86341,21.42
6241,21.25,0.0003828424251061505,1.1135,0.2578,0.0,1.4706,1.7595,1.2196,86089,22.3
6490,22.1,0.0003503370140618392,1.1064,0.2598,0.0,1.4593,1.7589,1.2192,86758,23.18
6740,22.95,0.00031895859354158805,1.1013,0.2614,0.0,1.4484,1.7597,1.2197,86370,24.07
6990,23.8,0.0002890379388068634,1.0956,0.2624,0.0,1.4375,1.766,1.2241,85861,24.95
7239,24.65,0.00026087341188844664,1.0897,0.2621,0.0,1.4256,1.7561,1.2173,87067,25.82
7489,25.5,0.00023441661648898333,1.0859,0.2637,0.0,1.4185,1.7578,1.2184,86563,26.7
7738,26.35,0.00021004469517049533,1.08,0.2675,0.0,1.4127,1.757,1.2179,86196,27.58
7988,27.2,0.00018771576863017576,1.0712,0.2673,0.0,1.4063,1.756,1.2171,86359,28.46
8238,28.05,0.00016767269017753102,1.07,0.2698,0.0,1.3963,1.7568,1.2177,86273,29.34
8487,28.9,0.00015010748759020814,1.0677,0.2711,0.0,1.3903,1.7525,1.2148,87338,30.22
8737,29.75,0.0001349899778379728,1.0629,0.272,0.0,1.3827,1.7541,1.2159,86697,31.09
8986,30.6,0.00012253566156152136,1.0579,0.2717,0.0,1.3788,1.754,1.2158,87089,31.97
9236,31.45,0.00011272313798264754,1.056,0.275,0.0,1.3728,1.7528,1.215,86287,32.85
9486,32.3,0.00010566963175058841,1.0524,0.2765,0.0,1.3704,1.7558,1.217,86279,33.74
9735,33.15,0.0001014310211264214,1.0499,0.2788,0.0,1.3648,1.7569,1.2178,86216,34.62
9985,34.0,0.00010000002272630928,1.0494,0.2804,0.0,1.3604,1.7553,1.2167,86728,35.49
