step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.7731,3.9545,8.4088,nan,0.02
250,2.72,0.0009994970746820995,5.3698,0.6507,0.12,2.0432,2.2006,4.6792,78417,0.92
500,5.44,0.000996397720658442,4.2865,0.4581,0.0,1.7919,2.0091,4.272,78456,1.83
750,8.15,0.0009904903249427582,3.9278,0.4639,0.0,1.6566,1.9354,4.1153,78275,2.74
1000,10.87,0.0009818120477011812,3.7178,0.4825,0.0,1.5691,1.905,4.0507,78784,3.65
1250,13.59,0.0009704174791862624,3.5674,0.4939,0.0,1.5031,1.89,4.0188,78219,4.56
1500,16.31,0.0009563782963398229,3.4418,0.5031,0.0,1.4327,1.8759,3.9888,76912,5.49
1750,19.02,0.00093978281191287,3.3328,0.5194,0.0,1.3797,1.8822,4.0022,78290,6.4
2000,21.74,0.0009207354189388212,3.2391,0.5269,0.0,1.328,1.8962,4.0319,78149,7.32
2250,24.46,0.0008993559340545463,3.1545,0.5417,0.0,1.2868,1.9021,4.0445,78400,8.22
2500,27.18,0.0008757788438000313,3.083,0.5497,0.0,1.2338,1.911,4.0634,78333,9.13
2750,29.89,0.00085015245863778,3.0148,0.568,0.0,1.1883,1.9253,4.0938,75807,10.06
3000,32.61,0.000822637980013546,2.9471,0.5774,0.0,1.155,1.9406,4.1264,77091,10.98
3250,35.33,0.0007934084863270072,2.8897,0.5915,0.0,1.1106,1.9484,4.143,77225,11.9
3500,38.05,0.0007626478441910743,2.8309,0.6024,0.0,1.0785,1.9597,4.1671,76810,12.83
3750,40.76,0.0007305495518285068,2.7843,0.6177,0.0,1.0408,1.9819,4.2142,78194,13.73
4000,43.48,0.000697315521881385,2.7243,0.6297,0.0,1.004,1.9894,4.2302,77403,14.65
4250,46.2,0.0006631548112901164,2.6806,0.6427,0.0,0.9681,2.0103,4.2746,76854,15.58
4500,48.92,0.0006282823062316016,2.6377,0.655,0.0,0.943,2.0256,4.3071,77583,16.49
4750,51.64,0.0005929173703888925,2.5881,0.6689,0.0,0.9038,2.0404,4.3386,78528,17.4
5000,54.35,0.0005572824650553304,2.5484,0.6813,0.0,0.8817,2.0533,4.3661,77690,18.32
5250,57.07,0.0005216017497533261,2.5088,0.6932,0.0,0.8561,2.0606,4.3816,77935,19.22
5500,59.79,0.00048609967217051877,2.4678,0.7049,0.0,0.8258,2.0847,4.4327,78014,20.14
5750,62.51,0.00045099955628324776,2.4302,0.7156,0.0,0.8043,2.0975,4.4601,78167,21.05
6000,65.22,0.0004165221975486692,2.4016,0.7293,0.0,0.7766,2.1091,4.4847,78297,21.96
6250,67.94,0.0003828844740023944,2.364,0.7442,0.0,0.7602,2.1142,4.4955,77359,22.87
6500,70.66,0.00035029798199846243,2.3366,0.7554,0.0,0.7416,2.1281,4.525,77218,23.79
6750,73.38,0.0003189677051734586,2.3054,0.7633,0.0,0.719,2.1375,4.5452,76807,24.72
7000,76.09,0.00028909072500758775,2.2774,0.7736,0.0,0.6893,2.1506,4.5729,75795,25.65
7250,78.81,0.0002608549810938516,2.254,0.7848,0.0,0.6739,2.1569,4.5864,76096,26.59
7500,81.53,0.00023443808891379495,2.2256,0.7924,0.0,0.662,2.1696,4.6134,75555,27.53
7750,84.25,0.0002100062225565369,2.205,0.803,0.0,0.6534,2.1733,4.6212,76407,28.45
8000,86.97,0.00018771306940928916,2.1809,0.8086,0.0,0.6384,2.1821,4.64,76016,29.39
8250,89.68,0.0001676988633948232,2.1587,0.8139,0.0,0.6247,2.1878,4.652,75684,30.33
8500,92.4,0.00015008950283725808,2.145,0.8217,0.0,0.6144,2.1909,4.6586,76863,31.25
8750,95.12,0.0001349957585051868,2.1279,0.8274,0.0,0.6025,2.1962,4.6699,76843,32.18
9000,97.84,0.00012251257681390645,2.1172,0.8314,0.0,0.5932,2.206,4.6908,76598,33.1
9250,100.55,0.00011271848256992017,2.104,0.8406,0.0,0.5839,2.2082,4.6954,77110,34.02
9500,103.27,0.00010567508501471838,2.0922,0.8441,0.0,0.5817,2.2147,4.7092,76414,34.95
9750,105.99,0.00010142669027504233,2.0781,0.8485,0.0,0.5745,2.2193,4.7191,75568,35.89
10000,108.71,0.00010000002265749383,2.0771,0.8566,0.0,0.568,2.2218,4.7243,76650,36.82
