step,passes,learning_rate,training_loss,seen_bpc,validation_bpc,validation_loss,minutes
0,0.0,1e-05,nan,6.7031,6.7064,4.6485,0.05
250,0.85,0.000999873441183748,2.5254,2.9496,2.9472,2.0428,0.88
500,1.7,0.0009991002839779969,1.8887,2.373,2.4351,1.6879,1.75
750,2.55,0.0009976254864774152,1.6373,2.121,2.2339,1.5484,2.62
1000,3.41,0.0009954513527940026,1.5048,1.9797,2.123,1.4715,3.48
1250,4.26,0.0009925812796296827,1.4267,1.9039,2.0536,1.4234,4.38
1500,5.11,0.0009890197509695546,1.3749,1.8387,2.0039,1.389,5.32
1750,5.96,0.0009847723310764526,1.3361,1.7959,1.9694,1.3651,6.28
2000,6.81,0.0009798456557977642,1.3084,1.7508,1.9201,1.3309,7.22
2250,7.66,0.0009742474221980834,1.2836,1.7207,1.9109,1.3245,8.15
2500,8.51,0.0009679863765339004,1.267,1.696,1.8855,1.3069,9.08
2750,9.36,0.0009610723005891116,1.2522,1.6751,1.8706,1.2966,10.0
3000,10.22,0.0009535159963927014,1.2367,1.6574,1.8642,1.2921,10.93
3250,11.07,0.0009453292693424693,1.2237,1.6383,1.8254,1.2653,11.87
3500,11.92,0.0009365249097611697,1.2131,1.6266,1.8287,1.2676,12.79
3750,12.77,0.00092711667291388,1.2073,1.6138,1.8159,1.2587,13.72
4000,13.62,0.000917119257517815,1.1943,1.5985,1.816,1.2587,14.72
4250,14.47,0.0009065482827781642,1.1871,1.585,1.8139,1.2573,15.67
4500,15.32,0.0008954202639858272,1.1804,1.5733,1.8091,1.254,16.62
4750,16.18,0.0008837525867151729,1.1724,1.5618,1.7943,1.2437,17.54
5000,17.03,0.000871563479662135,1.166,1.5524,1.8068,1.2524,18.49
5250,17.88,0.0008588719861650754,1.1607,1.5432,1.7868,1.2385,19.44
5500,18.73,0.0008456979344529152,1.1543,1.5318,1.7996,1.2474,20.4
5750,19.58,0.0008320619066670092,1.1479,1.5282,1.7907,1.2412,21.35
6000,20.43,0.0008179852067051668,1.1398,1.5153,1.7929,1.2428,22.32
6250,21.28,0.0008034898269380544,1.1363,1.5066,1.7842,1.2367,23.29
6500,22.13,0.0007885984138499786,1.1309,1.4976,1.7931,1.2429,24.27
6750,22.99,0.0007733342326577352,1.1273,1.4898,1.7756,1.2308,25.26
7000,23.84,0.0007577211309627932,1.1223,1.4796,1.7803,1.234,26.26
7250,24.69,0.0007417835014936083,1.117,1.4738,1.7796,1.2335,27.26
7500,25.54,0.00072554624399627,1.1142,1.4676,1.7793,1.2333,28.24
7750,26.39,0.0007090347263330219,1.1088,1.4607,1.7827,1.2356,29.22
8000,27.24,0.0006922747448494348,1.1005,1.4554,1.7692,1.2263,30.19
8250,28.09,0.0006752924840721478,1.0991,1.4433,1.7747,1.2302,31.16
8500,28.94,0.000658114475800146,1.0957,1.4379,1.7746,1.23,32.14
8750,29.8,0.0006407675576534858,1.0915,1.4308,1.7669,1.2247,33.11
9000,30.65,0.0006232788311442279,1.0855,1.4215,1.7622,1.2215,34.09
9250,31.5,0.0006056756193350869,1.0817,1.414,1.7742,1.2298,35.07
9500,32.35,0.0005879854241519451,1.0769,1.4086,1.7656,1.2238,36.04
9750,33.2,0.0005702358834169252,1.0729,1.4013,1.7693,1.2264,37.01
10000,34.05,0.0005524547276691492,1.0696,1.3922,1.7809,1.2344,37.98
10250,34.9,0.000534669736840642,1.0661,1.3811,1.7749,1.2303,38.94
10500,35.76,0.0005169086968550682,1.0622,1.3759,1.767,1.2248,39.91
10750,36.61,0.0004991993562171083,1.0599,1.3715,1.7577,1.2183,40.88
11000,37.46,0.00048156938266029494,1.0528,1.3701,1.7708,1.2274,41.85
11250,38.31,0.0004640463199210397,1.0492,1.3593,1.7721,1.2283,42.82
11500,39.16,0.00044665754470638394,1.046,1.3481,1.7688,1.2261,43.79
11750,40.01,0.00042943022392270385,1.0427,1.3452,1.7611,1.2207,44.75
12000,40.86,0.0004123912722321919,1.041,1.3395,1.7637,1.2225,45.71
12250,41.71,0.00039556731000342553,1.0368,1.3303,1.7662,1.2242,46.68
12500,42.57,0.00037898462172171796,1.032,1.3234,1.7718,1.2281,47.64
12750,43.42,0.00036266911492422767,1.0306,1.3194,1.7732,1.2291,48.61
13000,44.27,0.0003466462797239833,1.0245,1.3106,1.7706,1.2273,49.57
13250,45.12,0.00033094114898605956,1.0228,1.3028,1.7702,1.227,50.54
13500,45.97,0.0003155782592181239,1.018,1.2954,1.7665,1.2245,51.5
13750,46.82,0.00030058161223645393,1.0138,1.291,1.7774,1.232,52.46
14000,47.67,0.00028597463766731585,1.011,1.2862,1.7765,1.2314,53.43
14250,48.53,0.0002717801563422899,1.0084,1.2753,1.7665,1.2244,54.39
14500,49.38,0.00025802034464473004,1.0049,1.269,1.7713,1.2278,55.36
14750,50.23,0.00024471669986306075,1.0006,1.2624,1.7681,1.2255,56.33
15000,51.08,0.00023189000660504123,1.0001,1.26,1.7717,1.228,57.3
15250,51.93,0.00021956030432546657,0.9971,1.2555,1.7778,1.2322,58.27
15500,52.78,0.00020774685601804044,0.9907,1.2522,1.7831,1.2359,59.24
15750,53.63,0.00019646811812033165,0.9904,1.2412,1.7787,1.2329,60.21
16000,54.48,0.00018574171167883295,0.9915,1.2388,1.7767,1.2315,61.18
16250,55.34,0.00017558439481917147,0.985,1.2342,1.777,1.2317,62.15
16500,56.19,0.0001660120365644815,0.9851,1.2289,1.7791,1.2332,63.13
16750,57.04,0.000157039592042844,0.981,1.2262,1.7872,1.2388,64.1
17000,57.89,0.00014868107912252595,0.9802,1.2185,1.7817,1.235,65.06
17250,58.74,0.0001409495565115242,0.9756,1.2158,1.7817,1.235,66.01
17500,59.59,0.00013385710335562818,0.973,1.2108,1.7901,1.2408,66.96
17750,60.44,0.00012741480036687698,0.9714,1.208,1.7818,1.235,67.92
18000,61.29,0.00012163271251189306,0.9722,1.2027,1.7845,1.2369,68.86
18250,62.15,0.00011651987328714046,0.9714,1.2009,1.7858,1.2378,69.81
18500,63.0,0.00011208427060567345,0.9679,1.1961,1.7869,1.2386,70.76
18750,63.85,0.00010833283431742578,0.9667,1.1928,1.7865,1.2383,71.71
19000,64.7,0.00010527142538253761,0.9661,1.1909,1.7907,1.2412,72.65
19250,65.55,0.00010290482671463489,0.963,1.1877,1.7892,1.2401,73.59
19500,66.4,0.00010123673570836724,0.9624,1.1851,1.7906,1.2411,74.52
19750,67.25,0.00010026975846287813,0.96,1.1829,1.7886,1.2397,75.42
19969,68.0,0.0001,0.9625,1.1787,1.7937,1.2433,76.24
