step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.8431,3.9659,7.6554,nan,0.02
62,0.6,0.00062,6.2273,1.0416,0.3226,2.7197,2.7649,5.3372,85607,0.25
125,1.21,0.0009997779521645793,5.0265,0.4642,0.0,2.3815,2.455,4.7389,84993,0.49
188,1.82,0.000997085065094661,4.5816,0.4623,0.0,2.2097,2.3194,4.4771,85918,0.73
250,2.42,0.000991467915710602,4.3457,0.4579,0.0,2.107,2.2467,4.3368,85751,0.96
312,3.02,0.000982944593770023,4.1835,0.4644,0.0,2.0367,2.1812,4.2104,85694,1.19
375,3.62,0.0009713647985659705,4.0549,0.447,0.0,1.9698,2.1258,4.1034,86121,1.43
438,4.23,0.0009569210201369171,3.949,0.4583,0.0,1.9204,2.0936,4.0413,86108,1.66
500,4.83,0.0009400056220502038,3.8514,0.4561,0.0,1.8626,2.0427,3.943,86023,1.9
562,5.43,0.0009205228264350286,3.7775,0.4729,0.0,1.828,2.0227,3.9044,86391,2.13
625,6.04,0.0008982280943769279,3.6911,0.4753,0.0,1.7835,1.9985,3.8576,86216,2.36
688,6.65,0.0008735664834904018,3.6357,0.4722,0.0,1.7519,1.9823,3.8265,86217,2.6
750,7.25,0.0008471482326730356,3.5662,0.4907,0.0,1.7156,1.9596,3.7827,86469,2.83
812,7.85,0.0008187738622640052,3.5189,0.4899,0.0,1.692,1.948,3.7603,86072,3.06
875,8.46,0.0007881305504383858,3.4656,0.4863,0.0,1.6677,1.9332,3.7316,86294,3.3
938,9.07,0.0007558686840867672,3.4305,0.4899,0.0,1.6534,1.9212,3.7086,86534,3.53
1000,9.67,0.0007227516068384351,3.391,0.4933,0.0,1.6265,1.9078,3.6826,86258,3.76
1062,10.27,0.0006884973099620797,3.36,0.4952,0.0,1.6097,1.9041,3.6754,86385,4.0
1125,10.87,0.0006527578915497952,3.317,0.5099,0.0,1.5868,1.8919,3.6519,86202,4.23
1188,11.48,0.0006163200358721371,3.2805,0.4991,0.0,1.5677,1.889,3.6464,85554,4.47
1250,12.08,0.000580019170194978,3.2669,0.5009,0.0,1.5525,1.8851,3.6389,85761,4.7
1312,12.68,0.0005435206890502264,3.2339,0.5179,0.0,1.5311,1.8713,3.6122,84794,4.94
1375,13.29,0.0005064785366653971,3.2063,0.5112,0.0,1.5174,1.8742,3.6178,85972,5.17
1438,13.9,0.0004697321962262785,3.1789,0.5083,0.0,1.502,1.8605,3.5914,85626,5.41
1500,14.5,0.00043410050660169726,3.1504,0.5188,0.0,1.4878,1.8624,3.595,85854,5.64
1562,15.1,0.0003992317805245042,3.1238,0.5177,0.0,1.4736,1.857,3.5846,85339,5.87
1625,15.71,0.000364818538627701,3.1179,0.536,0.0,1.4643,1.8499,3.5708,85250,6.11
1688,16.32,0.0003316639604843873,3.0988,0.5236,0.0,1.4505,1.8457,3.5627,86014,6.35
1750,16.92,0.000300483385220878,3.0724,0.5356,0.0,1.441,1.845,3.5614,86711,6.58
1812,17.52,0.000270945371766418,3.0584,0.528,0.0,1.4307,1.8409,3.5535,86654,6.81
1875,18.12,0.00024281365293987495,3.031,0.5308,0.0,1.4186,1.8358,3.5436,86448,7.04
1938,18.73,0.00021676985542978615,3.0156,0.5358,0.0,1.4137,1.8364,3.5448,86415,7.28
2000,19.33,0.00019334989271035417,3.0036,0.5317,0.0,1.4019,1.8329,3.538,85680,7.51
2062,19.93,0.00017227774897662711,2.9929,0.535,0.0,1.3948,1.8304,3.5332,86460,7.74
2125,20.54,0.00015341344657075352,2.9888,0.5395,0.0,1.3897,1.8291,3.5308,85168,7.98
2188,21.15,0.0001372447116165219,2.9646,0.5426,0.0,1.3842,1.8332,3.5386,84730,8.22
2250,21.75,0.00012407115021866657,2.9497,0.5507,0.0,1.377,1.8292,3.5309,84947,8.46
2312,22.35,0.00011370146808409143,2.962,0.5461,0.0,1.3718,1.8329,3.538,86166,8.68
2375,22.96,0.00010610683427057706,2.9403,0.5486,0.0,1.3665,1.83,3.5325,85890,8.92
2438,23.57,0.00010152930721270076,2.9413,0.5555,0.0,1.3624,1.8297,3.532,86018,9.15
2500,24.17,0.00010000038553136689,2.9478,0.5535,0.0,1.3602,1.8303,3.5329,85813,9.38
