step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.64,6.6451,4.606,nan,0.06
250,0.85,0.000999495547480752,2.5212,0.8238,0.108,2.9604,2.956,2.0489,85391,0.94
499,1.7,0.000996404858951786,1.891,0.5102,0.0,2.3854,2.433,1.6864,84975,1.84
749,2.55,0.0009904908123745863,1.6317,0.4414,0.0,2.1241,2.2366,1.5503,85270,2.74
998,3.4,0.0009818377126940404,1.4952,0.3922,0.0,1.9767,2.107,1.4604,85891,3.63
1248,4.25,0.000970430690923128,1.4168,0.3554,0.0,1.892,2.0506,1.4213,84919,4.53
1498,5.1,0.0009563709434533556,1.368,0.3344,0.0,1.8228,2.0013,1.3872,85472,5.43
1747,5.95,0.0009398186496835648,1.3263,0.315,0.0,1.784,1.9566,1.3562,85420,6.33
1997,6.8,0.0009207453671075667,1.3011,0.3,0.0,1.7414,1.941,1.3454,85664,7.22
2247,7.65,0.0008993328505405867,1.277,0.29,0.0,1.7161,1.9187,1.3299,85613,8.12
2496,8.5,0.0008758148673582538,1.2585,0.279,0.0,1.6863,1.8861,1.3073,85783,9.0
2746,9.35,0.0008501510056157637,1.2452,0.2767,0.0,1.6644,1.8724,1.2978,85778,9.89
2996,10.2,0.0008225933280712271,1.2319,0.2703,0.0,1.6454,1.8493,1.2818,86142,10.78
3245,11.05,0.0007934360062282577,1.2136,0.2644,0.0,1.6259,1.8308,1.269,85808,11.67
3495,11.9,0.0007626289378280084,1.204,0.2641,0.0,1.6084,1.8357,1.2724,85275,12.57
3744,12.75,0.0007306112787292833,1.1919,0.261,0.0,1.5955,1.8262,1.2658,85809,13.45
3994,13.6,0.0006973280116347983,1.1836,0.2569,0.0,1.5775,1.8107,1.2551,85931,14.34
4244,14.45,0.0006631151720541386,1.1736,0.2576,0.0,1.5629,1.7981,1.2464,85864,15.23
4493,15.3,0.0006283294644189698,1.1651,0.2566,0.0,1.5542,1.8097,1.2544,85427,16.12
4743,16.15,0.0005929111149771788,1.1554,0.2543,0.0,1.538,1.8063,1.2521,85231,17.02
4992,17.0,0.0005573650135632823,1.1482,0.2537,0.0,1.5227,1.795,1.2442,84969,17.9
5242,17.85,0.0005216300798083888,1.1394,0.2542,0.0,1.5076,1.7971,1.2457,85347,18.8
5492,18.7,0.0004860741472967243,1.1336,0.2555,0.0,1.4983,1.7866,1.2383,85973,19.68
5741,19.55,0.00045106106954339323,1.1261,0.2551,0.0,1.4906,1.8004,1.248,86212,20.57
5991,20.4,0.0004165306820965957,1.1204,0.2552,0.0,1.4771,1.7872,1.2388,85291,21.46
6241,21.25,0.0003828424251061505,1.11,0.2567,0.0,1.4652,1.7861,1.238,85040,22.35
6490,22.1,0.0003503370140618392,1.1075,0.2578,0.0,1.4552,1.7736,1.2294,86148,23.23
6740,22.95,0.00031895859354158805,1.098,0.259,0.0,1.445,1.7717,1.228,85706,24.13
6990,23.8,0.0002890379388068634,1.0909,0.2615,0.0,1.4334,1.7675,1.2252,86325,25.02
7239,24.65,0.00026087341188844664,1.0862,0.2614,0.0,1.4216,1.7675,1.2252,84644,25.92
7489,25.5,0.00023441661648898333,1.0804,0.2624,0.0,1.4152,1.7645,1.2231,85626,26.81
7738,26.35,0.00021004469517049533,1.0777,0.2629,0.0,1.4045,1.7618,1.2212,84823,27.7
7988,27.2,0.00018771576863017576,1.071,0.268,0.0,1.3984,1.7679,1.2254,86061,28.59
8238,28.05,0.00016767269017753102,1.0677,0.2689,0.0,1.3919,1.7685,1.2258,84972,29.49
8487,28.9,0.00015010748759020814,1.0665,0.2686,0.0,1.3849,1.7687,1.2259,85219,30.38
8737,29.75,0.0001349899778379728,1.0622,0.2721,0.0,1.3784,1.766,1.2241,85729,31.28
8986,30.6,0.00012253566156152136,1.0576,0.2725,0.0,1.3744,1.7597,1.2197,83424,32.19
9236,31.45,0.00011272313798264754,1.0556,0.2756,0.0,1.3683,1.7642,1.2229,85005,33.08
9486,32.3,0.00010566963175058841,1.0504,0.2749,0.0,1.3661,1.7682,1.2256,85272,33.97
9735,33.15,0.0001014310211264214,1.0525,0.2774,0.0,1.3605,1.7644,1.223,85306,34.86
9985,34.0,0.00010000002272630928,1.0487,0.2802,0.0,1.3587,1.7663,1.2243,85094,35.75
