step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.6585,6.6578,4.6148,nan,0.05
250,0.85,0.000999495547480752,2.5203,0.8171,0.1,2.9333,2.9282,2.0297,91860,0.89
499,1.7,0.000996404858951786,1.8882,0.5181,0.0,2.3831,2.4318,1.6856,90678,1.73
749,2.55,0.0009904908123745863,1.6387,0.4461,0.0,2.1229,2.2393,1.5521,87667,2.61
998,3.4,0.0009818377126940404,1.5028,0.3987,0.0,1.9787,2.1194,1.469,88963,3.46
1248,4.25,0.000970430690923128,1.4226,0.3644,0.0,1.8962,2.0547,1.4242,88840,4.32
1498,5.1,0.0009563709434533556,1.3746,0.3368,0.0,1.8407,1.9993,1.3858,85131,5.22
1747,5.95,0.0009398186496835648,1.338,0.3169,0.0,1.7953,1.9711,1.3662,80331,6.17
1997,6.8,0.0009207453671075667,1.3079,0.3014,0.0,1.7528,1.9423,1.3463,80534,7.11
2247,7.65,0.0008993328505405867,1.2834,0.2898,0.0,1.727,1.9174,1.3291,79904,8.06
2496,8.5,0.0008758148673582538,1.2636,0.2822,0.0,1.6936,1.8888,1.3092,82512,8.98
2746,9.35,0.0008501510056157637,1.2461,0.2795,0.0,1.6694,1.8711,1.2969,83495,9.9
2996,10.2,0.0008225933280712271,1.2335,0.2703,0.0,1.6511,1.8552,1.2859,83281,10.82
3245,11.05,0.0007934360062282577,1.2196,0.2681,0.0,1.6268,1.8603,1.2895,82537,11.73
3495,11.9,0.0007626289378280084,1.208,0.2614,0.0,1.6116,1.8348,1.2718,80687,12.68
3744,12.75,0.0007306112787292833,1.1959,0.2607,0.0,1.6004,1.8375,1.2737,83164,13.6
3994,13.6,0.0006973280116347983,1.1835,0.2586,0.0,1.5832,1.8211,1.2623,82091,14.53
4244,14.45,0.0006631151720541386,1.1771,0.2567,0.0,1.5649,1.8042,1.2506,78908,15.5
4493,15.3,0.0006283294644189698,1.1704,0.2535,0.0,1.5514,1.8066,1.2522,83005,16.42
4743,16.15,0.0005929111149771788,1.1575,0.2526,0.0,1.5422,1.8015,1.2487,78560,17.38
4992,17.0,0.0005573650135632823,1.1497,0.2535,0.0,1.5265,1.7962,1.245,78594,18.34
5242,17.85,0.0005216300798083888,1.1426,0.253,0.0,1.5156,1.796,1.2449,78564,19.31
5492,18.7,0.0004860741472967243,1.1339,0.2539,0.0,1.5048,1.7883,1.2396,80723,20.24
5741,19.55,0.00045106106954339323,1.1275,0.255,0.0,1.4923,1.7809,1.2344,82712,21.17
5991,20.4,0.0004165306820965957,1.1222,0.2546,0.0,1.4809,1.767,1.2248,84284,22.07
6241,21.25,0.0003828424251061505,1.1144,0.2543,0.0,1.4686,1.7646,1.2231,83249,22.99
6490,22.1,0.0003503370140618392,1.1063,0.2568,0.0,1.4585,1.7578,1.2184,84102,23.89
6740,22.95,0.00031895859354158805,1.1028,0.2583,0.0,1.4469,1.7668,1.2247,83494,24.81
6990,23.8,0.0002890379388068634,1.0955,0.258,0.0,1.4362,1.7555,1.2168,82934,25.73
7239,24.65,0.00026087341188844664,1.0891,0.2612,0.0,1.4265,1.7574,1.2182,81941,26.66
7489,25.5,0.00023441661648898333,1.0851,0.261,0.0,1.4205,1.7594,1.2195,83236,27.57
7738,26.35,0.00021004469517049533,1.0798,0.2632,0.0,1.4097,1.7584,1.2188,83665,28.47
7988,27.2,0.00018771576863017576,1.0749,0.2635,0.0,1.4041,1.7555,1.2168,82273,29.4
8238,28.05,0.00016767269017753102,1.0717,0.2657,0.0,1.3984,1.755,1.2165,78430,30.37
8487,28.9,0.00015010748759020814,1.066,0.2678,0.0,1.3924,1.7552,1.2166,80607,31.3
8737,29.75,0.0001349899778379728,1.0634,0.2693,0.0,1.3859,1.7585,1.2189,82950,32.22
8986,30.6,0.00012253566156152136,1.06,0.269,0.0,1.3794,1.7538,1.2156,81861,33.15
9236,31.45,0.00011272313798264754,1.057,0.2709,0.0,1.3732,1.7492,1.2124,80173,34.1
9486,32.3,0.00010566963175058841,1.0549,0.2744,0.0,1.3697,1.7523,1.2146,78537,35.07
9735,33.15,0.0001014310211264214,1.0556,0.2746,0.0,1.3658,1.7523,1.2146,80858,36.0
9985,34.0,0.00010000002272630928,1.0485,0.2761,0.0,1.3623,1.7569,1.2178,81132,36.94
