step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.765,3.9472,8.3932,nan,0.02
62,0.67,0.00062,6.5995,1.2923,0.4516,2.5653,2.6971,5.735,81955,0.26
125,1.36,0.0009997779521645793,5.3002,0.4682,0.0,2.265,2.382,5.065,82184,0.5
188,2.04,0.000997085065094661,4.9166,0.4184,0.0,2.1435,2.2902,4.8697,81439,0.75
250,2.72,0.000991467915710602,4.7051,0.4456,0.0,2.0602,2.2245,4.73,82009,0.99
312,3.39,0.000982944593770023,4.5071,0.46,0.0,1.9834,2.1502,4.5722,81416,1.23
375,4.08,0.0009713647985659705,4.3372,0.451,0.0,1.8898,2.0834,4.4301,81636,1.48
438,4.76,0.0009569210201369171,4.2188,0.4523,0.0,1.8393,2.0484,4.3557,82059,1.72
500,5.44,0.0009400056220502038,4.1187,0.4553,0.0,1.8033,2.0218,4.2991,81932,1.96
562,6.11,0.0009205228264350286,4.0462,0.4564,0.0,1.7624,1.9945,4.2411,81397,2.21
625,6.79,0.0008982280943769279,3.9673,0.456,0.0,1.7205,1.9707,4.1904,81166,2.45
688,7.48,0.0008735664834904018,3.9026,0.4714,0.0,1.6929,1.958,4.1634,82290,2.7
750,8.15,0.0008471482326730356,3.8493,0.4625,0.0,1.6619,1.9357,4.1159,82015,2.94
812,8.83,0.0008187738622640052,3.7966,0.473,0.0,1.6401,1.9289,4.1015,81433,3.18
875,9.51,0.0007881305504383858,3.7507,0.4799,0.0,1.619,1.9231,4.0893,81528,3.43
938,10.2,0.0007558686840867672,3.703,0.485,0.0,1.5885,1.9044,4.0495,81798,3.67
1000,10.87,0.0007227516068384351,3.6514,0.4877,0.0,1.5653,1.9005,4.0411,82242,3.91
1062,11.54,0.0006884973099620797,3.6181,0.4959,0.0,1.5495,1.8946,4.0285,81812,4.16
1125,12.23,0.0006527578915497952,3.5788,0.4934,0.0,1.5239,1.892,4.023,82327,4.4
1188,12.91,0.0006163200358721371,3.5415,0.5002,0.0,1.5042,1.8871,4.0127,82196,4.64
1250,13.59,0.000580019170194978,3.5061,0.5068,0.0,1.4841,1.877,3.9911,82583,4.88
1312,14.26,0.0005435206890502264,3.4668,0.5056,0.0,1.4685,1.8693,3.9748,82458,5.12
1375,14.95,0.0005064785366653971,3.4456,0.5173,0.0,1.4566,1.8744,3.9856,82228,5.37
1438,15.63,0.0004697321962262785,3.4086,0.5208,0.0,1.4387,1.8705,3.9774,81381,5.61
1500,16.31,0.00043410050660169726,3.3794,0.5209,0.0,1.4218,1.8622,3.9598,81378,5.85
1562,16.98,0.0003992317805245042,3.3518,0.5262,0.0,1.4077,1.8596,3.9541,81604,6.09
1625,17.66,0.000364818538627701,3.3276,0.5317,0.0,1.3985,1.8604,3.9558,81751,6.34
1688,18.35,0.0003316639604843873,3.3031,0.5377,0.0,1.3809,1.8612,3.9575,82361,6.58
1750,19.02,0.000300483385220878,3.2787,0.5482,0.0,1.3695,1.8588,3.9525,82135,6.82
1812,19.7,0.000270945371766418,3.2502,0.5459,0.0,1.3621,1.8583,3.9514,82553,7.06
1875,20.38,0.00024281365293987495,3.242,0.5472,0.0,1.3454,1.858,3.9507,82246,7.3
1938,21.07,0.00021676985542978615,3.2239,0.5573,0.0,1.3343,1.8559,3.9464,82318,7.54
2000,21.74,0.00019334989271035417,3.2073,0.5587,0.0,1.3248,1.8539,3.942,82451,7.78
2062,22.42,0.00017227774897662711,3.2027,0.5597,0.0,1.3172,1.8545,3.9434,81863,8.02
2125,23.1,0.00015341344657075352,3.1829,0.5622,0.0,1.3118,1.8543,3.9429,81219,8.27
2188,23.79,0.0001372447116165219,3.1728,0.5642,0.0,1.3029,1.8543,3.9429,81166,8.51
2250,24.46,0.00012407115021866657,3.145,0.5631,0.0,1.2988,1.8539,3.942,81719,8.75
2312,25.13,0.00011370146808409143,3.1535,0.5707,0.0,1.2928,1.8533,3.9408,81912,8.99
2375,25.82,0.00010610683427057706,3.1352,0.573,0.0,1.2875,1.8544,3.9432,81754,9.23
2438,26.5,0.00010152930721270076,3.1297,0.5758,0.0,1.2842,1.8575,3.9497,81050,9.48
2500,27.18,0.00010000038553136689,3.1215,0.5802,0.0,1.2783,1.8542,3.9427,81134,9.72
