step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.7731,3.9545,8.4088,nan,0.02
62,0.67,0.00062,6.6109,1.2574,0.4516,2.5567,2.6899,5.7196,78712,0.27
125,1.36,0.0009997779521645793,5.2836,0.4995,0.0317,2.2616,2.3737,5.0473,79266,0.53
188,2.04,0.000997085065094661,4.9012,0.4154,0.0,2.1381,2.2883,4.8657,76582,0.8
250,2.72,0.000991467915710602,4.6925,0.4341,0.0,2.0432,2.2003,4.6787,77452,1.05
312,3.39,0.000982944593770023,4.4904,0.4625,0.0,1.9481,2.1215,4.511,78703,1.31
375,4.08,0.0009713647985659705,4.334,0.4669,0.0,1.8834,2.0787,4.42,78654,1.56
438,4.76,0.0009569210201369171,4.2114,0.4478,0.0,1.8291,2.0384,4.3344,78627,1.82
500,5.44,0.0009400056220502038,4.1118,0.4567,0.0,1.79,2.0065,4.2666,78113,2.07
562,6.11,0.0009205228264350286,4.0227,0.4546,0.0,1.7529,1.9883,4.2279,78673,2.33
625,6.79,0.0008982280943769279,3.9545,0.4639,0.0,1.7165,1.9563,4.1599,78211,2.59
688,7.48,0.0008735664834904018,3.8902,0.4671,0.0,1.6837,1.9486,4.1435,78076,2.85
750,8.15,0.0008471482326730356,3.8364,0.4662,0.0,1.6544,1.9321,4.1084,76674,3.11
812,8.83,0.0008187738622640052,3.784,0.4835,0.0,1.6312,1.921,4.0847,77751,3.37
875,9.51,0.0007881305504383858,3.7343,0.4804,0.0,1.606,1.9134,4.0686,73713,3.64
938,10.2,0.0007558686840867672,3.688,0.4885,0.0,1.5834,1.907,4.0549,76200,3.91
1000,10.87,0.0007227516068384351,3.6442,0.49,0.0,1.5617,1.894,4.0274,73881,4.18
1062,11.54,0.0006884973099620797,3.6083,0.4951,0.0,1.5368,1.8875,4.0136,76883,4.44
1125,12.23,0.0006527578915497952,3.5773,0.4991,0.0,1.523,1.8818,4.0014,77947,4.7
1188,12.91,0.0006163200358721371,3.5344,0.5073,0.0,1.5032,1.8692,3.9747,78598,4.96
1250,13.59,0.000580019170194978,3.5039,0.5132,0.0,1.4914,1.8707,3.9779,77438,5.21
1312,14.26,0.0005435206890502264,3.4667,0.5111,0.0,1.4743,1.8752,3.9873,77436,5.47
1375,14.95,0.0005064785366653971,3.4385,0.5179,0.0,1.4586,1.8679,3.9718,75870,5.73
1438,15.63,0.0004697321962262785,3.4054,0.5223,0.0,1.4417,1.867,3.9699,78199,5.99
1500,16.31,0.00043410050660169726,3.3893,0.5311,0.0,1.4241,1.859,3.9529,78141,6.24
1562,16.98,0.0003992317805245042,3.3481,0.5339,0.0,1.4113,1.862,3.9592,77085,6.5
1625,17.66,0.000364818538627701,3.3296,0.5481,0.0,1.3952,1.8588,3.9525,76101,6.76
1688,18.35,0.0003316639604843873,3.3055,0.5376,0.0,1.3846,1.8591,3.9532,78002,7.02
1750,19.02,0.000300483385220878,3.2751,0.5461,0.0,1.3745,1.8568,3.9483,76911,7.28
1812,19.7,0.000270945371766418,3.2527,0.5551,0.0,1.3665,1.8556,3.9457,73307,7.56
1875,20.38,0.00024281365293987495,3.2356,0.5482,0.0,1.3488,1.8552,3.9447,74198,7.83
1938,21.07,0.00021676985542978615,3.2193,0.5574,0.0,1.339,1.8572,3.9492,72865,8.1
2000,21.74,0.00019334989271035417,3.2097,0.5582,0.0,1.3313,1.8536,3.9414,72700,8.37
2062,22.42,0.00017227774897662711,3.1849,0.5634,0.0,1.324,1.8552,3.9448,68309,8.67
2125,23.1,0.00015341344657075352,3.1718,0.5621,0.0,1.3162,1.8566,3.9477,70545,8.95
2188,23.79,0.0001372447116165219,3.1523,0.5673,0.0,1.308,1.8542,3.9426,76075,9.21
2250,24.46,0.00012407115021866657,3.1559,0.5706,0.0,1.3028,1.8515,3.9369,72761,9.48
2312,25.13,0.00011370146808409143,3.1494,0.5743,0.0,1.2989,1.8523,3.9386,69101,9.77
2375,25.82,0.00010610683427057706,3.1326,0.5718,0.0,1.2934,1.8532,3.9406,71510,10.05
2438,26.5,0.00010152930721270076,3.1278,0.5841,0.0,1.2887,1.8523,3.9386,72675,10.32
2500,27.18,0.00010000038553136689,3.1151,0.5788,0.0,1.2827,1.8538,3.9419,73016,10.59
