step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,4.0301,4.0437,6.9773,nan,0.02
62,0.52,0.00062,5.7378,0.9302,0.2742,2.8345,2.8096,4.8479,90049,0.24
125,1.06,0.0009997779521645793,4.537,0.5248,0.0,2.4537,2.4817,4.2821,89295,0.47
188,1.59,0.000997085065094661,4.164,0.479,0.0,2.339,2.3967,4.1355,88978,0.71
250,2.12,0.000991467915710602,4.005,0.4633,0.0,2.2405,2.3171,3.9982,89298,0.93
312,2.64,0.000982944593770023,3.8743,0.4553,0.0,2.1636,2.2624,3.9038,89052,1.16
375,3.17,0.0009713647985659705,3.755,0.4685,0.0,2.0923,2.2115,3.816,88753,1.39
438,3.71,0.0009569210201369171,3.6388,0.4716,0.0,2.0142,2.1674,3.7398,88457,1.62
500,4.23,0.0009400056220502038,3.5441,0.484,0.0,1.96,2.1244,3.6656,88258,1.85
562,4.75,0.0009205228264350286,3.4538,0.4899,0.0,1.9046,2.0842,3.5963,88838,2.08
625,5.29,0.0008982280943769279,3.3716,0.5043,0.0,1.8542,2.0443,3.5274,88880,2.31
688,5.82,0.0008735664834904018,3.2912,0.4918,0.0,1.817,2.0131,3.4736,88069,2.54
750,6.35,0.0008471482326730356,3.254,0.4907,0.0,1.783,1.9918,3.4368,87961,2.77
812,6.87,0.0008187738622640052,3.198,0.4957,0.0,1.7546,1.9785,3.414,89473,3.0
875,7.4,0.0007881305504383858,3.1481,0.4954,0.0,1.7356,1.9632,3.3875,88921,3.23
938,7.94,0.0007558686840867672,3.1039,0.4912,0.0,1.7116,1.9587,3.3798,88528,3.46
1000,8.46,0.0007227516068384351,3.0702,0.4934,0.0,1.6838,1.9338,3.3368,88242,3.69
1062,8.98,0.0006884973099620797,3.0466,0.4977,0.0,1.6667,1.9163,3.3066,88925,3.92
1125,9.52,0.0006527578915497952,3.0057,0.4949,0.0,1.6453,1.9102,3.296,89232,4.15
1188,10.05,0.0006163200358721371,2.9861,0.4907,0.0,1.6306,1.8917,3.2641,89366,4.38
1250,10.58,0.000580019170194978,2.963,0.4847,0.0,1.6123,1.8868,3.2558,89334,4.61
1312,11.1,0.0005435206890502264,2.933,0.491,0.0,1.5992,1.8826,3.2485,86042,4.84
1375,11.63,0.0005064785366653971,2.9079,0.4842,0.0,1.5855,1.8729,3.2317,89121,5.07
1438,12.17,0.0004697321962262785,2.8902,0.4989,0.0,1.5779,1.8683,3.2237,88970,5.3
1500,12.69,0.00043410050660169726,2.8665,0.4961,0.0,1.5627,1.8582,3.2064,88302,5.53
1562,13.21,0.0003992317805245042,2.8494,0.4897,0.0,1.5456,1.8532,3.1977,88141,5.76
1625,13.75,0.000364818538627701,2.8341,0.5065,0.0,1.5415,1.8446,3.1828,89213,5.99
1688,14.28,0.0003316639604843873,2.807,0.5065,0.0,1.5263,1.8524,3.1963,89276,6.22
1750,14.81,0.000300483385220878,2.7967,0.5036,0.0,1.5146,1.8371,3.17,88041,6.45
1812,15.33,0.000270945371766418,2.7772,0.5,0.0,1.5083,1.836,3.1679,89088,6.68
1875,15.86,0.00024281365293987495,2.7645,0.5,0.0,1.4949,1.8336,3.1638,89712,6.91
1938,16.4,0.00021676985542978615,2.7451,0.5004,0.0,1.4872,1.8335,3.1637,89238,7.14
2000,16.92,0.00019334989271035417,2.7497,0.509,0.0,1.4781,1.8296,3.157,89378,7.36
2062,17.44,0.00017227774897662711,2.7329,0.5104,0.0,1.4716,1.8288,3.1555,89279,7.59
2125,17.98,0.00015341344657075352,2.729,0.5077,0.0,1.4657,1.822,3.1439,89424,7.82
2188,18.51,0.0001372447116165219,2.7172,0.5147,0.0,1.4592,1.8219,3.1437,88758,8.05
2250,19.04,0.00012407115021866657,2.7043,0.5054,0.0,1.457,1.8235,3.1464,88084,8.28
2312,19.56,0.00011370146808409143,2.7079,0.507,0.0,1.4508,1.8169,3.1351,87553,8.51
2375,20.09,0.00010610683427057706,2.6898,0.5089,0.0,1.4451,1.8169,3.1351,89494,8.74
2438,20.63,0.00010152930721270076,2.6874,0.5116,0.0,1.4423,1.8163,3.134,89129,8.97
2500,21.15,0.00010000038553136689,2.682,0.5148,0.0,1.4412,1.8136,3.1294,88738,9.2
