step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.9472,4.0235,7.4268,nan,0.02
62,0.57,0.00062,6.0284,1.0009,0.2742,2.7544,2.7687,5.1106,87481,0.25
125,1.15,0.0009997779521645793,4.8336,0.4864,0.0,2.4014,2.468,4.5555,84814,0.49
188,1.72,0.000997085065094661,4.383,0.4661,0.0,2.2571,2.3554,4.3478,84761,0.73
250,2.29,0.000991467915710602,4.2022,0.4721,0.0,2.1556,2.269,4.1883,84999,0.97
312,2.86,0.000982944593770023,4.0559,0.4628,0.0,2.0841,2.215,4.0886,82847,1.21
375,3.44,0.0009713647985659705,3.9418,0.4657,0.0,2.0249,2.1795,4.023,85477,1.45
438,4.01,0.0009569210201369171,3.8191,0.4615,0.0,1.9561,2.1287,3.9292,83749,1.69
500,4.58,0.0009400056220502038,3.7296,0.4721,0.0,1.9008,2.078,3.8356,84348,1.93
562,5.15,0.0009205228264350286,3.6504,0.4791,0.0,1.8577,2.0517,3.7871,83811,2.17
625,5.73,0.0008982280943769279,3.5673,0.4759,0.0,1.8156,2.0171,3.7232,85120,2.41
688,6.3,0.0008735664834904018,3.5039,0.4907,0.0,1.7873,2.0078,3.7062,86897,2.64
750,6.87,0.0008471482326730356,3.4393,0.4951,0.0,1.7433,1.9662,3.6293,84181,2.88
812,7.44,0.0008187738622640052,3.3943,0.4894,0.0,1.7224,1.9624,3.6223,85613,3.12
875,8.02,0.0007881305504383858,3.3451,0.4939,0.0,1.6926,1.939,3.5792,85598,3.36
938,8.6,0.0007558686840867672,3.3031,0.5022,0.0,1.6688,1.9274,3.5576,87026,3.59
1000,9.16,0.0007227516068384351,3.2615,0.4955,0.0,1.6538,1.9193,3.5427,86650,3.82
1062,9.73,0.0006884973099620797,3.2237,0.505,0.0,1.636,1.9076,3.5212,87335,4.05
1125,10.31,0.0006527578915497952,3.1922,0.5005,0.0,1.6099,1.8959,3.4997,86834,4.29
1188,10.89,0.0006163200358721371,3.1591,0.4901,0.0,1.5911,1.8907,3.49,82892,4.53
1250,11.46,0.000580019170194978,3.141,0.504,0.0,1.5736,1.882,3.4738,85872,4.77
1312,12.02,0.0005435206890502264,3.1164,0.5023,0.0,1.5552,1.8725,3.4565,83440,5.01
1375,12.6,0.0005064785366653971,3.0847,0.5189,0.0,1.5417,1.8698,3.4513,85267,5.25
1438,13.18,0.0004697321962262785,3.061,0.506,0.0,1.5302,1.8643,3.4412,86312,5.48
1500,13.75,0.00043410050660169726,3.0368,0.5109,0.0,1.5127,1.8612,3.4355,87089,5.72
1562,14.31,0.0003992317805245042,3.0081,0.5205,0.0,1.5004,1.8554,3.4249,84269,5.96
1625,14.89,0.000364818538627701,2.9992,0.5308,0.0,1.4882,1.8469,3.4092,86634,6.2
1688,15.47,0.0003316639604843873,2.9826,0.5182,0.0,1.4739,1.8483,3.4116,85384,6.43
1750,16.04,0.000300483385220878,2.9604,0.5142,0.0,1.4674,1.8451,3.4057,86605,6.66
1812,16.61,0.000270945371766418,2.9462,0.5165,0.0,1.4579,1.8389,3.3944,85362,6.9
1875,17.18,0.00024281365293987495,2.9278,0.5249,0.0,1.4468,1.8361,3.3892,86352,7.13
1938,17.76,0.00021676985542978615,2.9137,0.5219,0.0,1.438,1.8335,3.3844,87209,7.37
2000,18.33,0.00019334989271035417,2.8938,0.5311,0.0,1.4296,1.83,3.3778,87213,7.6
2062,18.9,0.00017227774897662711,2.8871,0.5297,0.0,1.4248,1.827,3.3724,87076,7.83
2125,19.47,0.00015341344657075352,2.8839,0.5293,0.0,1.4173,1.8276,3.3736,87622,8.06
2188,20.05,0.0001372447116165219,2.8658,0.5357,0.0,1.4101,1.8253,3.3693,87080,8.29
2250,20.62,0.00012407115021866657,2.8479,0.5311,0.0,1.4037,1.8251,3.369,85329,8.53
2312,21.19,0.00011370146808409143,2.8484,0.5343,0.0,1.401,1.8257,3.3701,87150,8.76
2375,21.76,0.00010610683427057706,2.8399,0.532,0.0,1.3961,1.8228,3.3646,86900,8.99
2438,22.34,0.00010152930721270076,2.8449,0.5408,0.0,1.3914,1.8219,3.363,86192,9.23
2500,22.91,0.00010000038553136689,2.8365,0.5403,0.0,1.3882,1.8231,3.3651,86214,9.46
