step,passes,learning_rate,training_loss,seen_bpc,validation_bpc,validation_loss,minutes
0,0.0,1e-05,nan,6.7031,6.7064,4.6485,0.11
250,0.85,0.0009994887548706493,2.5254,2.9497,2.9473,2.0429,1.19
500,1.7,0.0009963686848925254,1.8887,2.3727,2.4348,1.6876,2.22
750,2.55,0.0009904322323164027,1.6372,2.1206,2.2332,1.5479,3.22
1000,3.41,0.0009817168534475616,1.5048,1.9792,2.1217,1.4707,4.23
1250,4.26,0.0009702775383473846,1.4261,1.8982,2.0493,1.4205,5.24
1500,5.11,0.0009561864638711738,1.374,1.8333,1.9888,1.3785,6.25
1750,5.96,0.0009395325382651511,1.3346,1.7946,1.9711,1.3662,7.25
2000,6.81,0.000920420840196016,1.3066,1.7462,1.9274,1.336,8.26
2250,7.66,0.0008989719557525378,1.2814,1.7177,1.8958,1.3141,9.28
2500,8.51,0.0008753212176023915,1.2634,1.6871,1.8858,1.3071,10.29
2750,9.36,0.0008496178511048156,1.2481,1.6688,1.8627,1.2912,11.31
3000,10.22,0.0008220240327667289,1.2314,1.6512,1.8513,1.2832,12.33
3250,11.07,0.0007927138669830182,1.2174,1.6292,1.8194,1.2611,13.34
3500,11.92,0.0007618722875173001,1.2057,1.6177,1.8263,1.2659,14.34
3750,12.77,0.0007296938906543094,1.1983,1.5953,1.8054,1.2514,15.35
4000,13.62,0.0006963817073861919,1.1848,1.5812,1.8108,1.2551,16.34
4250,14.47,0.0006621459223796434,1.1752,1.566,1.797,1.2456,17.35
4500,15.32,0.00062720254780663,1.1674,1.554,1.7911,1.2415,18.35
4750,16.18,0.0005917720604062098,1.1581,1.5402,1.786,1.238,19.35
5000,17.03,0.0005560780103769755,1.15,1.5245,1.7813,1.2347,20.34
5250,17.88,0.0005203456108773695,1.1435,1.516,1.7683,1.2257,21.33
5500,18.73,0.0004848003170334825,1.1356,1.5049,1.7802,1.2339,22.31
5750,19.58,0.0004496664034201467,1.127,1.4908,1.7765,1.2314,23.29
6000,20.43,0.00041516554899076826,1.1179,1.4811,1.7733,1.2291,24.27
6250,21.28,0.00038151543838434567,1.1128,1.4744,1.7583,1.2187,25.24
6500,22.13,0.0003489283884347881,1.106,1.46,1.7596,1.2197,26.22
6750,22.99,0.0003176100085486338,1.1012,1.4491,1.7535,1.2154,27.18
7000,23.84,0.00028775790340357263,1.0951,1.437,1.7486,1.212,28.13
7250,24.69,0.00025956042615315144,1.0891,1.4295,1.7573,1.218,29.09
7500,25.54,0.00023319549000437503,1.0851,1.4196,1.7489,1.2122,30.04
7750,26.39,0.0002088294456666002,1.0795,1.4141,1.7542,1.2159,30.99
8000,27.24,0.00018661603175451426,1.0711,1.4046,1.7443,1.2091,31.96
8250,28.09,0.00016669540476766878,1.0696,1.3956,1.7435,1.2085,32.91
8500,28.94,0.00014919325476696197,1.0671,1.3932,1.7489,1.2123,33.86
8750,29.8,0.00013422001232774044,1.063,1.3835,1.7433,1.2084,34.81
9000,30.65,0.00012187015177329078,1.0576,1.3777,1.7418,1.2073,35.72
9250,31.5,0.00011222159508499392,1.0555,1.3731,1.7406,1.2065,36.63
9500,32.35,0.00010533522025020076,1.052,1.3717,1.7459,1.2101,37.57
9750,33.2,0.0001012544771499277,1.0504,1.3654,1.7404,1.2063,38.52
9985,34.0,0.0001,1.0486,1.361,1.7423,1.2077,39.42
