step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.7656,3.9492,8.3973,nan,0.02
62,0.67,0.00062,6.5984,1.2684,0.4355,2.558,2.6792,5.6969,76655,0.28
125,1.36,0.0009997779521645793,5.3027,0.468,0.0,2.2611,2.3775,5.0554,76027,0.55
188,2.04,0.000997085065094661,4.9132,0.4245,0.0,2.1439,2.2864,4.8618,75739,0.81
250,2.72,0.000991467915710602,4.6864,0.4348,0.0,2.0441,2.2039,4.6862,75279,1.08
312,3.39,0.000982944593770023,4.4974,0.4724,0.0,1.9514,2.1153,4.4979,74856,1.34
375,4.08,0.0009713647985659705,4.3341,0.4484,0.0,1.8847,2.0706,4.4029,74845,1.62
438,4.76,0.0009569210201369171,4.2182,0.4411,0.0,1.8399,2.0381,4.3338,75955,1.88
500,5.44,0.0009400056220502038,4.1098,0.4444,0.0,1.7968,2.0124,4.2791,74693,2.15
562,6.11,0.0009205228264350286,4.0411,0.4599,0.0,1.7628,1.9845,4.2197,74271,2.42
625,6.79,0.0008982280943769279,3.968,0.4461,0.0,1.7279,1.9614,4.1706,75697,2.69
688,7.48,0.0008735664834904018,3.9123,0.4595,0.0,1.6889,1.9439,4.1334,75555,2.96
750,8.15,0.0008471482326730356,3.8379,0.4625,0.0,1.6607,1.9322,4.1086,74938,3.22
812,8.83,0.0008187738622640052,3.7974,0.4624,0.0,1.637,1.9174,4.0772,75087,3.49
875,9.51,0.0007881305504383858,3.7443,0.4789,0.0,1.6182,1.9103,4.0621,76702,3.75
938,10.2,0.0007558686840867672,3.6967,0.4774,0.0,1.5925,1.8984,4.0366,76035,4.02
1000,10.87,0.0007227516068384351,3.6514,0.4798,0.0,1.5697,1.889,4.0167,76535,4.28
1062,11.54,0.0006884973099620797,3.6085,0.498,0.0,1.5439,1.8887,4.016,75797,4.55
1125,12.23,0.0006527578915497952,3.5622,0.4897,0.0,1.5236,1.8799,3.9973,76238,4.81
1188,12.91,0.0006163200358721371,3.5368,0.4971,0.0,1.5027,1.8747,3.9863,75578,5.08
1250,13.59,0.000580019170194978,3.4948,0.4977,0.0,1.493,1.8667,3.9694,76048,5.34
1312,14.26,0.0005435206890502264,3.4677,0.5116,0.0,1.4766,1.8641,3.9637,75483,5.61
1375,14.95,0.0005064785366653971,3.4412,0.5103,0.0,1.4586,1.8591,3.9532,76373,5.87
1438,15.63,0.0004697321962262785,3.4146,0.5182,0.0,1.4425,1.8528,3.9398,76181,6.14
1500,16.31,0.00043410050660169726,3.3898,0.5267,0.0,1.4307,1.8624,3.9601,76224,6.41
1562,16.98,0.0003992317805245042,3.3522,0.5311,0.0,1.4103,1.8557,3.9459,75397,6.67
1625,17.66,0.000364818538627701,3.3269,0.5284,0.0,1.395,1.8513,3.9365,77028,6.93
1688,18.35,0.0003316639604843873,3.3067,0.5362,0.0,1.3834,1.8499,3.9336,76440,7.2
1750,19.02,0.000300483385220878,3.2891,0.5392,0.0,1.3728,1.8506,3.9351,75959,7.46
1812,19.7,0.000270945371766418,3.2689,0.5463,0.0,1.3627,1.8472,3.9277,76064,7.72
1875,20.38,0.00024281365293987495,3.2466,0.5442,0.0,1.3517,1.8479,3.9292,76648,7.98
1938,21.07,0.00021676985542978615,3.2295,0.5461,0.0,1.3392,1.8475,3.9284,77720,8.24
2000,21.74,0.00019334989271035417,3.2005,0.5614,0.0,1.3272,1.8488,3.9312,77398,8.5
2062,22.42,0.00017227774897662711,3.1932,0.5488,0.0,1.3216,1.8478,3.9291,77218,8.75
2125,23.1,0.00015341344657075352,3.1695,0.5543,0.0,1.3157,1.8482,3.9299,76917,9.01
2188,23.79,0.0001372447116165219,3.1666,0.5616,0.0,1.3078,1.846,3.9252,77050,9.27
2250,24.46,0.00012407115021866657,3.1554,0.5643,0.0,1.3023,1.8471,3.9276,77168,9.53
2312,25.13,0.00011370146808409143,3.1473,0.5712,0.0,1.2951,1.8474,3.9282,77421,9.79
2375,25.82,0.00010610683427057706,3.1459,0.5736,0.0,1.2901,1.8493,3.9323,77669,10.05
2438,26.5,0.00010152930721270076,3.1231,0.57,0.0,1.285,1.8491,3.9318,77303,10.31
2500,27.18,0.00010000038553136689,3.1284,0.5739,0.0,1.2819,1.8484,3.9304,76386,10.56
