step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.7614,6.7626,4.6874,nan,0.06
250,0.85,0.000999495547480752,2.526,0.8117,0.108,2.9587,2.9509,2.0454,85764,0.94
499,1.7,0.000996404858951786,1.8933,0.5113,0.0,2.376,2.422,1.6788,86569,1.83
749,2.55,0.0009904908123745863,1.64,0.454,0.0,2.1141,2.2136,1.5343,85410,2.72
998,3.4,0.0009818377126940404,1.5038,0.399,0.0,1.9769,2.1137,1.4651,85061,3.6
1248,4.25,0.000970430690923128,1.4255,0.3627,0.0,1.9079,2.0644,1.4309,85551,4.5
1498,5.1,0.0009563709434533556,1.374,0.3392,0.0,1.837,2.0132,1.3955,85818,5.39
1747,5.95,0.0009398186496835648,1.3364,0.3181,0.0,1.7907,1.9765,1.37,86488,6.28
1997,6.8,0.0009207453671075667,1.3091,0.304,0.0,1.7601,1.9562,1.3559,86511,7.16
2247,7.65,0.0008993328505405867,1.2851,0.2949,0.0,1.7272,1.9259,1.3349,85757,8.04
2496,8.5,0.0008758148673582538,1.2682,0.2821,0.0,1.7032,1.9237,1.3334,86794,8.93
2746,9.35,0.0008501510056157637,1.2506,0.2767,0.0,1.681,1.9008,1.3175,86013,9.81
2996,10.2,0.0008225933280712271,1.2331,0.2727,0.0,1.6509,1.873,1.2983,85334,10.7
3245,11.05,0.0007934360062282577,1.2199,0.2673,0.0,1.6342,1.8505,1.2827,85748,11.59
3495,11.9,0.0007626289378280084,1.2097,0.2658,0.0,1.6161,1.8482,1.2811,84397,12.49
3744,12.75,0.0007306112787292833,1.1958,0.259,0.0,1.6031,1.8366,1.2731,85941,13.38
3994,13.6,0.0006973280116347983,1.1859,0.26,0.0,1.5861,1.8266,1.2661,85254,14.29
4244,14.45,0.0006631151720541386,1.1773,0.2576,0.0,1.5776,1.8265,1.266,84552,15.19
4493,15.3,0.0006283294644189698,1.1682,0.2541,0.0,1.5537,1.8186,1.2606,85332,16.09
4743,16.15,0.0005929111149771788,1.1594,0.2522,0.0,1.5437,1.8054,1.2514,86119,16.98
4992,17.0,0.0005573650135632823,1.1487,0.2544,0.0,1.5284,1.7952,1.2443,86479,17.87
5242,17.85,0.0005216300798083888,1.1435,0.2541,0.0,1.5144,1.7918,1.242,84781,18.76
5492,18.7,0.0004860741472967243,1.135,0.2562,0.0,1.5047,1.7913,1.2416,78695,19.72
5741,19.55,0.00045106106954339323,1.1266,0.2549,0.0,1.4912,1.7712,1.2277,79095,20.68
5991,20.4,0.0004165306820965957,1.1191,0.2567,0.0,1.4823,1.7835,1.2363,79956,21.62
6241,21.25,0.0003828424251061505,1.1132,0.2559,0.0,1.4688,1.7759,1.231,83427,22.53
6490,22.1,0.0003503370140618392,1.1079,0.2583,0.0,1.4595,1.7839,1.2365,83280,23.44
6740,22.95,0.00031895859354158805,1.1018,0.2583,0.0,1.4483,1.7701,1.2269,83228,24.36
6990,23.8,0.0002890379388068634,1.0956,0.2607,0.0,1.4393,1.7699,1.2268,84703,25.25
7239,24.65,0.00026087341188844664,1.0907,0.2632,0.0,1.4296,1.7666,1.2245,84834,26.15
7489,25.5,0.00023441661648898333,1.0852,0.2621,0.0,1.4248,1.771,1.2276,85663,27.04
7738,26.35,0.00021004469517049533,1.0787,0.2629,0.0,1.4105,1.7597,1.2197,85445,27.94
7988,27.2,0.00018771576863017576,1.0737,0.2663,0.0,1.4045,1.7563,1.2174,85018,28.84
8238,28.05,0.00016767269017753102,1.069,0.2662,0.0,1.3954,1.7583,1.2187,84224,29.75
8487,28.9,0.00015010748759020814,1.0658,0.2678,0.0,1.3889,1.7577,1.2184,84718,30.65
8737,29.75,0.0001349899778379728,1.0621,0.2686,0.0,1.3829,1.7584,1.2188,86166,31.54
8986,30.6,0.00012253566156152136,1.0589,0.2712,0.0,1.3778,1.7531,1.2151,84328,32.44
9236,31.45,0.00011272313798264754,1.0553,0.2734,0.0,1.3737,1.7576,1.2183,84444,33.35
9486,32.3,0.00010566963175058841,1.0521,0.2749,0.0,1.3681,1.7538,1.2156,84754,34.25
9735,33.15,0.0001014310211264214,1.0522,0.2762,0.0,1.3633,1.7504,1.2133,85948,35.13
9985,34.0,0.00010000002272630928,1.0497,0.2786,0.0,1.3603,1.7584,1.2188,85180,36.04
