step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.9383,4.014,7.4093,nan,0.02
62,0.57,0.00062,6.0435,1.0052,0.2903,2.7888,2.7966,5.1621,88571,0.24
125,1.15,0.0009997779521645793,4.8581,0.4697,0.0,2.4094,2.4705,4.5602,87818,0.48
188,1.72,0.000997085065094661,4.3988,0.4667,0.0,2.2551,2.3497,4.3372,88285,0.71
250,2.29,0.000991467915710602,4.2011,0.4681,0.0,2.1634,2.2703,4.1906,87710,0.94
312,2.86,0.000982944593770023,4.0585,0.4659,0.0,2.0921,2.219,4.096,87962,1.17
375,3.44,0.0009713647985659705,3.948,0.4445,0.0,2.0239,2.1715,4.0083,88085,1.4
438,4.01,0.0009569210201369171,3.8314,0.4561,0.0,1.9657,2.1304,3.9325,87635,1.63
500,4.58,0.0009400056220502038,3.7373,0.4666,0.0,1.9129,2.0933,3.8639,87016,1.86
562,5.15,0.0009205228264350286,3.6616,0.47,0.0,1.8674,2.0573,3.7975,87259,2.09
625,5.73,0.0008982280943769279,3.5835,0.4767,0.0,1.8162,2.0329,3.7525,87652,2.32
688,6.3,0.0008735664834904018,3.5097,0.4827,0.0,1.7851,2.003,3.6973,87926,2.56
750,6.87,0.0008471482326730356,3.4627,0.4887,0.0,1.7489,1.9768,3.6489,87006,2.79
812,7.44,0.0008187738622640052,3.3971,0.4869,0.0,1.7221,1.9662,3.6293,87937,3.02
875,8.02,0.0007881305504383858,3.3513,0.4921,0.0,1.6989,1.9373,3.5761,88106,3.25
938,8.6,0.0007558686840867672,3.3005,0.4926,0.0,1.6699,1.9283,3.5594,88373,3.48
1000,9.16,0.0007227516068384351,3.2643,0.4882,0.0,1.6468,1.9175,3.5394,87980,3.71
1062,9.73,0.0006884973099620797,3.2376,0.4956,0.0,1.6312,1.9104,3.5264,87916,3.94
1125,10.31,0.0006527578915497952,3.1923,0.4949,0.0,1.6088,1.9061,3.5185,87794,4.17
1188,10.89,0.0006163200358721371,3.1635,0.5049,0.0,1.5899,1.8961,3.4999,86969,4.4
1250,11.46,0.000580019170194978,3.1372,0.5009,0.0,1.5699,1.8859,3.4811,87258,4.63
1312,12.02,0.0005435206890502264,3.1102,0.503,0.0,1.5567,1.8803,3.4707,87240,4.86
1375,12.6,0.0005064785366653971,3.0845,0.5032,0.0,1.5436,1.8732,3.4577,88148,5.09
1438,13.18,0.0004697321962262785,3.0646,0.4973,0.0,1.5303,1.8694,3.4506,87387,5.33
1500,13.75,0.00043410050660169726,3.0407,0.5089,0.0,1.5174,1.8585,3.4305,88274,5.55
1562,14.31,0.0003992317805245042,3.0231,0.5215,0.0,1.5029,1.8495,3.414,88064,5.78
1625,14.89,0.000364818538627701,2.996,0.5097,0.0,1.4915,1.8476,3.4104,88026,6.02
1688,15.47,0.0003316639604843873,2.979,0.515,0.0,1.4809,1.8459,3.4072,87999,6.25
1750,16.04,0.000300483385220878,2.9698,0.5106,0.0,1.4665,1.8453,3.4062,87525,6.48
1812,16.61,0.000270945371766418,2.9438,0.5158,0.0,1.4605,1.8426,3.4012,87428,6.71
1875,17.18,0.00024281365293987495,2.9293,0.514,0.0,1.4455,1.8389,3.3943,87275,6.94
1938,17.76,0.00021676985542978615,2.9137,0.5214,0.0,1.4368,1.8324,3.3824,87653,7.17
2000,18.33,0.00019334989271035417,2.907,0.5184,0.0,1.4279,1.8302,3.3783,87526,7.4
2062,18.9,0.00017227774897662711,2.8952,0.5227,0.0,1.4226,1.8246,3.368,87105,7.63
2125,19.47,0.00015341344657075352,2.8815,0.532,0.0,1.4168,1.8263,3.3711,86565,7.87
2188,20.05,0.0001372447116165219,2.8686,0.5317,0.0,1.4084,1.8228,3.3647,87450,8.1
2250,20.62,0.00012407115021866657,2.8677,0.5243,0.0,1.4061,1.8239,3.3666,87598,8.33
2312,21.19,0.00011370146808409143,2.8627,0.5321,0.0,1.4022,1.8208,3.3609,87046,8.56
2375,21.76,0.00010610683427057706,2.8489,0.5342,0.0,1.3959,1.8204,3.3601,87152,8.79
2438,22.34,0.00010152930721270076,2.837,0.5376,0.0,1.3924,1.8212,3.3617,87966,9.02
2500,22.91,0.00010000038553136689,2.841,0.5383,0.0,1.3884,1.8186,3.3569,87957,9.25
