step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,4.0463,4.0578,7.0017,nan,0.02
62,0.52,0.00062,5.7494,0.9491,0.2742,2.8248,2.8081,4.8453,83251,0.27
125,1.06,0.0009997779521645793,4.5227,0.5207,0.0,2.446,2.4811,4.2812,82425,0.52
188,1.59,0.000997085065094661,4.1515,0.4765,0.0,2.3379,2.3981,4.138,82193,0.77
250,2.12,0.000991467915710602,3.9967,0.4664,0.0,2.2437,2.3304,4.0211,80833,1.02
312,2.64,0.000982944593770023,3.8761,0.4578,0.0,2.1666,2.2607,3.9008,80515,1.28
375,3.17,0.0009713647985659705,3.7607,0.4736,0.0,2.083,2.2104,3.814,81755,1.53
438,3.71,0.0009569210201369171,3.6411,0.4773,0.0,2.0181,2.154,3.7167,79710,1.79
500,4.23,0.0009400056220502038,3.541,0.4906,0.0,1.96,2.1201,3.6582,82194,2.04
562,4.75,0.0009205228264350286,3.4435,0.491,0.0,1.915,2.0883,3.6034,82553,2.29
625,5.29,0.0008982280943769279,3.3722,0.4877,0.0,1.8592,2.0443,3.5275,82850,2.54
688,5.82,0.0008735664834904018,3.2981,0.4894,0.0,1.8158,2.0134,3.4741,82120,2.8
750,6.35,0.0008471482326730356,3.2434,0.4944,0.0,1.7815,1.9913,3.436,82930,3.05
812,6.87,0.0008187738622640052,3.1952,0.4897,0.0,1.7595,1.9785,3.4139,82615,3.29
875,7.4,0.0007881305504383858,3.141,0.5003,0.0,1.7279,1.9515,3.3673,82390,3.55
938,7.94,0.0007558686840867672,3.1151,0.488,0.0,1.7007,1.9341,3.3373,82203,3.8
1000,8.46,0.0007227516068384351,3.0677,0.4892,0.0,1.6831,1.9234,3.3189,79521,4.06
1062,8.98,0.0006884973099620797,3.0387,0.4805,0.0,1.6643,1.9138,3.3022,79734,4.31
1125,9.52,0.0006527578915497952,3.0174,0.4914,0.0,1.652,1.9069,3.2903,79709,4.57
1188,10.05,0.0006163200358721371,2.9848,0.4897,0.0,1.6348,1.8901,3.2613,82327,4.83
1250,10.58,0.000580019170194978,2.9552,0.4803,0.0,1.6143,1.881,3.2456,81705,5.08
1312,11.1,0.0005435206890502264,2.939,0.4969,0.0,1.5976,1.8682,3.2236,80509,5.34
1375,11.63,0.0005064785366653971,2.9119,0.4853,0.0,1.5882,1.8582,3.2064,74118,5.61
1438,12.17,0.0004697321962262785,2.8898,0.4994,0.0,1.5739,1.8525,3.1966,77703,5.89
1500,12.69,0.00043410050660169726,2.8636,0.5015,0.0,1.5589,1.8493,3.191,77641,6.17
1562,13.21,0.0003992317805245042,2.8455,0.4961,0.0,1.5461,1.839,3.1732,77487,6.45
1625,13.75,0.000364818538627701,2.8235,0.4975,0.0,1.5332,1.8361,3.1682,77306,6.74
1688,14.28,0.0003316639604843873,2.8145,0.5013,0.0,1.5227,1.8315,3.1602,80159,7.0
1750,14.81,0.000300483385220878,2.7957,0.4947,0.0,1.5111,1.8263,3.1513,79183,7.26
1812,15.33,0.000270945371766418,2.7778,0.5019,0.0,1.5062,1.8257,3.1503,78757,7.52
1875,15.86,0.00024281365293987495,2.7632,0.5048,0.0,1.496,1.8266,3.1517,79139,7.79
1938,16.4,0.00021676985542978615,2.7601,0.5032,0.0,1.4848,1.8198,3.1401,78886,8.05
2000,16.92,0.00019334989271035417,2.7361,0.5031,0.0,1.4802,1.8199,3.1402,81988,8.3
2062,17.44,0.00017227774897662711,2.7299,0.5053,0.0,1.4747,1.8174,3.1359,80041,8.57
2125,17.98,0.00015341344657075352,2.7189,0.5003,0.0,1.4666,1.8144,3.1307,79664,8.84
2188,18.51,0.0001372447116165219,2.7102,0.511,0.0,1.4624,1.8139,3.1298,79075,9.1
2250,19.04,0.00012407115021866657,2.703,0.5093,0.0,1.4569,1.8141,3.1302,79615,9.36
2312,19.56,0.00011370146808409143,2.7039,0.5118,0.0,1.4513,1.8116,3.1259,80602,9.62
2375,20.09,0.00010610683427057706,2.6833,0.5126,0.0,1.448,1.8112,3.1251,82290,9.87
2438,20.63,0.00010152930721270076,2.6897,0.5134,0.0,1.4447,1.8085,3.1206,82174,10.12
2500,21.15,0.00010000038553136689,2.6744,0.5157,0.0,1.4429,1.8104,3.1239,81624,10.38
